datetime,efficiency,electric_power
2022-01-01T00:00,0,0
2022-01-01T01:00,0,0
2022-01-01T02:00,0,0
2022-01-01T03:00,0,0
2022-01-01T04:00,0,0
2022-01-01T05:00,0,0
2022-01-01T06:00,0,0
2022-01-01T07:00,0.00403,8.06
2022-01-01T08:00,0.08227,164.54
2022-01-01T09:00,0.06345,126.9
2022-01-01T10:00,0.06343,126.86
2022-01-01T11:00,0.04307,86.14
2022-01-01T12:00,0.03868,77.36
2022-01-01T13:00,0.07115,142.3
2022-01-01T14:00,0.00369,7.38
2022-01-01T15:00,0,0
2022-01-01T16:00,0,0
2022-01-01T17:00,0,0
2022-01-01T18:00,0,0
2022-01-01T19:00,0,0
2022-01-01T20:00,0,0
2022-01-01T21:00,0,0
2022-01-01T22:00,0,0
2022-01-01T23:00,0,0
2022-01-02T00:00,0,0
2022-01-02T01:00,0,0
2022-01-02T02:00,0,0
2022-01-02T03:00,0,0
2022-01-02T04:00,0,0
2022-01-02T05:00,0,0
2022-01-02T06:00,0,0
2022-01-02T07:00,0.01304,26.08
2022-01-02T08:00,0.16482,329.64
2022-01-02T09:00,0.54427,1088.54
2022-01-02T10:00,0.5584,1116.8
2022-01-02T11:00,0.54082,1081.64
2022-01-02T12:00,0.25087,501.74
2022-01-02T13:00,0.0799,159.8
2022-01-02T14:00,0.03047,60.94
2022-01-02T15:00,0,0
2022-01-02T16:00,0,0
2022-01-02T17:00,0,0
2022-01-02T18:00,0,0
2022-01-02T19:00,0,0
2022-01-02T20:00,0,0
2022-01-02T21:00,0,0
2022-01-02T22:00,0,0
2022-01-02T23:00,0,0
2022-01-03T00:00,0,0
2022-01-03T01:00,0,0
2022-01-03T02:00,0,0
2022-01-03T03:00,0,0
2022-01-03T04:00,0,0
2022-01-03T05:00,0,0
2022-01-03T06:00,0,0
2022-01-03T07:00,0.04715,94.3
2022-01-03T08:00,0.36895,737.9
2022-01-03T09:00,0.49103,982.06
2022-01-03T10:00,0.52577,1051.54
2022-01-03T11:00,0.28039,560.78
2022-01-03T12:00,0.11035,220.7
2022-01-03T13:00,0.03589,71.78
2022-01-03T14:00,0.00956,19.12
2022-01-03T15:00,0,0
2022-01-03T16:00,0,0
2022-01-03T17:00,0,0
2022-01-03T18:00,0,0
2022-01-03T19:00,0,0
2022-01-03T20:00,0,0
2022-01-03T21:00,0,0
2022-01-03T22:00,0,0
2022-01-03T23:00,0,0
2022-01-04T00:00,0,0
2022-01-04T01:00,0,0
2022-01-04T02:00,0,0
2022-01-04T03:00,0,0
2022-01-04T04:00,0,0
2022-01-04T05:00,0,0
2022-01-04T06:00,0,0
2022-01-04T07:00,0.0231,46.2
2022-01-04T08:00,0.11978,239.56
2022-01-04T09:00,0.09321,186.42
2022-01-04T10:00,0.0769,153.8
2022-01-04T11:00,0.15209,304.18
2022-01-04T12:00,0.05091,101.82
2022-01-04T13:00,0.02965,59.3
2022-01-04T14:00,0.03105,62.1
2022-01-04T15:00,0,0
